region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
JP-KN,Kansai,Asia,2021,149.54,553.16,399.33,355.39,437.89,17.26,10.47
JP-KN,Kansai,Asia,2022,119.68,528.56,420.39,396.89,461.08,14.48,11.51
JP-KN,Kansai,Asia,2023,60.03,484.33,367.03,344.5,408.79,17.09,13.3
JP-KN,Kansai,Asia,2024,72.37,463.21,357.57,325.91,405.3,17.56,12.56
JP-KN,Kansai,Asia,all,60.03,553.16,386.06,348.73,428.97,17.79,11.96
JP-KY,Kyūshū,Asia,2021,27.34,488.09,306.77,260.27,379.05,29.96,25.38
JP-KY,Kyūshū,Asia,2022,55.9,540.22,397.11,349.34,466.71,25.3,22.87
JP-KY,Kyūshū,Asia,2023,30.21,508.79,306.59,256.65,375.32,29.61,25.82
JP-KY,Kyūshū,Asia,2024,33.8,479.42,308.49,265.35,371.26,29.15,26.39
JP-KY,Kyūshū,Asia,all,27.34,540.22,329.72,275.57,398.03,30.67,25.12
JP-ON,Okinawa,Asia,2021,414.09,633.28,602.82,580.81,632.36,7.01,6.45
JP-ON,Okinawa,Asia,2022,425.99,626.83,599.72,584.27,625.92,6.55,5.84
JP-ON,Okinawa,Asia,2023,421.57,625.96,593.53,569.74,625.09,7.63,7.08
JP-ON,Okinawa,Asia,2024,405.95,625.97,596.04,576.22,625.22,7.24,6.55
JP-ON,Okinawa,Asia,all,405.95,633.28,598.03,577.54,625.68,7.14,6.48
JP-TH,Tōhoku,Asia,2021,250.24,541.14,485.46,456.58,527.2,11.23,10.31
JP-TH,Tōhoku,Asia,2022,227.64,541.76,485.25,456.57,528.86,12.14,10.92
JP-TH,Tōhoku,Asia,2023,249.71,540.89,482.28,449.19,530.55,13.37,12.16
JP-TH,Tōhoku,Asia,2024,257.39,541.02,481.9,446.44,530.28,13.28,12.26
JP-TH,Tōhoku,Asia,all,227.64,541.76,483.72,452.09,529.12,12.54,11.41
JP-TK,Tōkyō,Asia,2021,239.22,605.08,552.13,521.44,596.75,12.12,11.15
JP-TK,Tōkyō,Asia,2022,207.55,604.36,549.72,517.19,596.86,12.96,11.88
JP-TK,Tōkyō,Asia,2023,212.47,606.19,539.66,494.75,595.33,15.04,14.02
JP-TK,Tōkyō,Asia,2024,199.54,604.07,543.62,502.59,593.6,13.58,12.86
JP-TK,Tōkyō,Asia,all,199.54,606.19,546.28,510.01,595.79,13.48,12.48
KE,Kenya,Africa,2021,77.5,118.61,95.87,90.09,101.44,7.73,3.49
KE,Kenya,Africa,2022,89.53,140.79,109.3,103.69,114.19,6.93,3.6
KE,Kenya,Africa,2023,77.27,121.15,96.95,91.34,102.49,7.47,3.36
KE,Kenya,Africa,2024,78.78,120.76,96.97,91.1,102.4,7.78,3.33
KE,Kenya,Africa,all,77.27,140.79,99.77,92.56,105.99,9.29,3.45
KR,South Korea,Asia,2021,430.8,569.07,489.61,475.8,502.67,3.04,2.81
KR,South Korea,Asia,2022,330.94,497.25,452.87,438.8,472.56,5.92,2.46
KR,South Korea,Asia,2023,265.06,498.76,439.74,422.74,464.5,7.66,3.89
KR,South Korea,Asia,2024,249.01,505.06,417.91,391.04,449.09,10.42,4.51
KR,South Korea,Asia,all,249.01,569.07,450.01,426.88,478.3,9.09,3.42
LT,Lithuania,Europe,2021,77.45,623.92,312.56,255.18,365.86,26.15,15.94
LT,Lithuania,Europe,2022,41.43,682.08,233.05,168.15,279.21,37.78,19.7
LT,Lithuania,Europe,2023,34.83,628.24,180.91,112.5,223.32,54.3,21.89
LT,Lithuania,Europe,2024,33.82,546.1,166.07,96.35,220.34,51.43,30.82
LT,Lithuania,Europe,all,33.82,682.08,223.11,138.06,292.82,47.28,22.09
LU,Luxembourg,Europe,2021,80.95,607.32,328.26,249.82,408.3,31.99,18.07
LU,Luxembourg,Europe,2022,77.45,694.21,359.62,272.35,447.96,33.05,20.01
LU,Luxembourg,Europe,2023,55.72,636.92,265.71,168.36,346.65,44.37,23.49
LU,Luxembourg,Europe,2024,56.84,577.51,244.8,153.23,318.58,44.07,26.46
LU,Luxembourg,Europe,all,55.72,694.21,299.56,201.66,388.51,40.63,22.01
LV,Latvia,Europe,2021,53.66,563.06,302.06,230.67,375.58,34.38,18.22
LV,Latvia,Europe,2022,31.94,628.76,289.43,214.52,361.29,37.06,17.24
LV,Latvia,Europe,2023,19.82,498.86,189.95,119.58,257.09,49.77,16.85
LV,Latvia,Europe,2024,19.61,525.03,194.97,116.47,270.95,49.82,19.82
LV,Latvia,Europe,all,19.61,628.76,244.07,156.81,321.22,46.46,18.03
MY,Malaysia2,Asia,2021,495.77,598.51,551.38,540.52,562.68,2.88,1.67
MY,Malaysia2,Asia,2022,480.25,595.05,542.26,530.03,555.11,3.27,1.73
MY,Malaysia2,Asia,2023,477.12,596.81,544.22,532.24,557.09,3.4,2.01
MY,Malaysia2,Asia,2024,473.77,589.42,541.89,529.74,555.76,3.5,2.21
MY,Malaysia2,Asia,all,473.77,598.51,544.94,532.81,557.91,3.34,1.91
MY-WM,Peninsula,Asia,2021,564.44,725.84,656.94,642.43,672.43,3.6,2.47
MY-WM,Peninsula,Asia,2022,553.95,718.52,645.42,626.71,664.35,4.1,2.72
MY-WM,Peninsula,Asia,2023,553.04,730.49,650.74,630.84,670.35,4.3,3.31
MY-WM,Peninsula,Asia,2024,556.4,724.09,646.28,625.26,668.51,4.69,3.64
MY-WM,Peninsula,Asia,all,553.04,730.49,649.84,630.79,669.25,4.25,3.04
NI,Nicaragua,Central America,2021,23.63,433.2,196.71,137.28,247.9,34.35,22.76
NI,Nicaragua,Central America,2022,29.34,466.51,247.05,203.88,290.27,26.78,16.69
NI,Nicaragua,Central America,2023,100.04,544.23,321.84,230.97,412.48,32.49,13.74
NI,Nicaragua,Central America,2024,75.08,507.37,299.41,237.19,368.83,29.99,16.45
NI,Nicaragua,Central America,all,23.63,544.23,266.28,193.36,333.71,36.28,17.41
NL,Netherlands,Europe,2021,132.95,548.7,368.86,304.59,441.4,23.84,15.29
NL,Netherlands,Europe,2022,87.38,548.61,343.65,258.15,435.68,30.65,21.71
NL,Netherlands,Europe,2023,73.52,534.21,289.94,186.54,389.97,40.4,25.89
NL,Netherlands,Europe,2024,62.8,526.31,272.79,166.75,370.11,44.0,30.03
NL,Netherlands,Europe,all,62.8,548.7,318.78,225.15,417.9,36.12,23.24
NO,Norway5,Europe,2021,23.68,112.16,32.13,27.52,31.46,28.33,10.37
NO,Norway5,Europe,2022,24.97,143.63,37.98,29.2,42.64,36.59,14.55
NO,Norway5,Europe,2023,22.96,76.55,33.8,29.46,34.44,23.87,9.76
NO,Norway5,Europe,2024,25.6,66.66,33.26,29.72,34.07,17.35,8.0
NO,Norway5,Europe,all,22.96,143.63,34.29,28.81,35.23,28.93,10.67
NO-NO1,Southeast Norway,Europe,2021,23.84,108.13,31.02,27.69,30.37,25.19,8.22
NO-NO1,Southeast Norway,Europe,2022,19.9,129.17,29.27,24.66,28.97,34.36,9.98
NO-NO1,Southeast Norway,Europe,2023,20.43,75.27,27.53,24.6,26.16,25.31,7.52
NO-NO1,Southeast Norway,Europe,2024,19.08,70.58,26.05,23.7,25.88,19.67,7.22
NO-NO1,Southeast Norway,Europe,all,19.08,129.17,28.47,24.73,28.87,27.82,8.23
NO-NO2,Southwest Norway,Europe,2021,21.96,231.76,36.08,24.89,33.98,65.31,22.06
NO-NO2,Southwest Norway,Europe,2022,20.06,350.87,52.47,24.66,67.91,79.43,32.67
NO-NO2,Southwest Norway,Europe,2023,21.05,160.34,36.35,24.45,37.42,58.93,23.13
NO-NO2,Southwest Norway,Europe,2024,20.73,116.53,33.35,24.14,37.17,47.57,20.3
NO-NO2,Southwest Norway,Europe,all,20.06,350.87,39.56,24.51,43.39,71.83,24.54
NO-NO3,Middle Norway,Europe,2021,17.65,33.61,25.58,23.98,27.15,8.55,3.29
NO-NO3,Middle Norway,Europe,2022,18.55,37.2,27.29,24.92,29.66,12.16,4.72
NO-NO3,Middle Norway,Europe,2023,17.41,42.15,28.88,25.84,31.83,14.33,5.35
NO-NO3,Middle Norway,Europe,2024,16.98,40.17,28.72,26.29,31.16,12.46,6.6
NO-NO3,Middle Norway,Europe,all,16.98,42.15,27.61,25.05,30.13,13.15,4.99
NO-NO4,North Norway,Europe,2021,19.34,44.28,29.49,27.01,31.47,11.14,3.75
NO-NO4,North Norway,Europe,2022,24.83,81.48,44.19,32.24,51.73,24.27,4.53
NO-NO4,North Norway,Europe,2023,25.39,90.2,51.12,46.76,57.57,22.95,5.73
NO-NO4,North Norway,Europe,2024,35.5,93.64,56.69,48.88,64.06,17.64,5.78
NO-NO4,North Norway,Europe,all,19.34,93.64,45.38,31.28,54.19,30.74,4.95
NO-NO5,West Norway,Europe,2021,24.98,94.59,37.9,34.13,40.18,15.6,6.99
NO-NO5,West Norway,Europe,2022,24.32,101.47,31.12,26.19,33.93,25.33,6.37
NO-NO5,West Norway,Europe,2023,23.92,56.26,26.92,25.29,26.87,12.71,4.54
NO-NO5,West Norway,Europe,2024,23.35,42.6,26.34,25.15,26.78,7.97,3.38
NO-NO5,West Norway,Europe,all,23.35,101.47,30.57,25.64,34.51,23.03,5.32
NZ,New Zealand,Oceania,2021,97.12,103.96,100.62,99.56,101.86,1.92,1.96
NZ,New Zealand,Oceania,2022,32.25,195.83,95.55,63.49,126.9,39.61,10.49
NZ,New Zealand,Oceania,2023,35.94,197.49,95.36,73.02,115.26,30.79,10.77
NZ,New Zealand,Oceania,2024,31.61,228.28,110.24,68.77,149.39,43.54,9.63
NZ,New Zealand,Oceania,all,31.61,228.28,100.45,76.76,117.78,34.31,8.22
PA,Panama,Central America,2021,93.67,400.62,230.36,190.62,262.77,22.41,8.68
PA,Panama,Central America,2022,45.56,509.65,239.39,168.11,304.24,36.6,9.89
PA,Panama,Central America,2023,21.52,515.89,300.57,264.23,346.64,24.67,10.69
PA,Panama,Central America,2024,22.2,405.48,168.95,103.55,240.98,52.7,18.1
PA,Panama,Central America,all,21.52,515.89,234.77,171.9,298.69,38.38,11.84
PE,Peru,South America,2021,48.38,301.21,185.02,135.34,231.72,29.49,7.81
PE,Peru,South America,2022,68.22,354.48,205.41,147.27,249.22,29.57,7.87
PE,Peru,South America,2023,76.59,354.53,220.41,170.3,270.45,26.3,7.23
PE,Peru,South America,2024,66.47,341.6,187.68,144.72,229.62,27.1,8.86
PE,Peru,South America,all,48.38,354.53,199.62,150.18,243.09,29.03,7.94
PH,Philippines3,Asia,2021,600.6,641.8,625.0,609.79,636.79,2.39,2.44
PH,Philippines3,Asia,2022,599.31,641.8,624.58,608.39,635.61,2.38,2.43
PH,Philippines3,Asia,2023,515.07,688.63,620.51,601.59,634.53,4.25,2.65
PH,Philippines3,Asia,2024,519.19,689.74,622.85,602.21,642.59,4.54,2.62
PH,Philippines3,Asia,all,515.07,689.74,623.23,605.24,636.45,3.54,2.54
PH-LU,Luzon,Asia,2021,616.89,666.39,645.32,630.47,661.91,2.71,2.77
PH-LU,Luzon,Asia,2022,615.59,666.39,644.88,628.6,661.55,2.71,2.76
PH-LU,Luzon,Asia,2023,520.22,728.57,642.2,617.15,660.44,5.02,3.15
PH-LU,Luzon,Asia,2024,546.06,714.18,641.66,621.24,664.02,4.43,2.87
PH-LU,Luzon,Asia,all,520.22,728.57,643.52,623.2,661.67,3.86,2.89
PH-MI,Mindanao,Asia,2021,507.29,575.31,545.39,524.87,568.57,4.25,4.34
PH-MI,Mindanao,Asia,2022,505.86,575.31,545.06,523.31,567.35,4.26,4.35
PH-MI,Mindanao,Asia,2023,389.42,634.63,513.56,482.74,540.85,7.07,5.75
PH-MI,Mindanao,Asia,2024,409.85,679.0,558.18,519.76,593.84,9.75,4.68
PH-MI,Mindanao,Asia,all,389.42,679.0,540.56,512.5,567.35,7.42,4.78
PH-VI,Visayas,Asia,2021,557.6,646.11,611.63,585.09,639.11,5.12,5.23
PH-VI,Visayas,Asia,2022,557.2,646.11,611.43,585.08,639.08,5.12,5.23
PH-VI,Visayas,Asia,2023,484.88,690.05,616.36,592.52,645.2,5.33,4.77
PH-VI,Visayas,Asia,2024,457.23,692.35,593.36,567.87,622.11,6.33,4.96
PH-VI,Visayas,Asia,all,457.23,692.35,608.19,578.24,638.6,5.67,5.05
PL,Poland,Europe,2021,534.59,1030.88,854.73,803.28,921.39,10.1,5.36
PL,Poland,Europe,2022,473.5,1116.12,881.88,804.07,970.17,12.88,7.58
PL,Poland,Europe,2023,360.06,1016.07,748.05,655.53,851.26,17.03,11.14
PL,Poland,Europe,2024,350.79,989.18,703.92,606.8,807.33,18.43,13.02
PL,Poland,Europe,all,350.79,1116.12,797.08,708.7,899.71,17.18,9.28
PT,Portugal,Europe,2021,44.8,447.9,202.89,133.32,266.11,41.7,13.47
PT,Portugal,Europe,2022,35.78,424.64,226.49,177.04,280.02,33.16,13.79
PT,Portugal,Europe,2023,29.36,378.94,153.79,87.83,210.19,48.64,19.35
PT,Portugal,Europe,2024,32.08,305.71,104.21,73.91,125.78,39.35,16.93
PT,Portugal,Europe,all,29.36,447.9,171.8,98.66,236.96,49.49,15.88
RO,Romania,Europe,2021,159.21,562.85,390.48,349.56,435.94,16.3,7.75
RO,Romania,Europe,2022,181.26,558.49,372.05,332.59,412.52,15.75,8.43
RO,Romania,Europe,2023,114.34,484.89,311.24,271.93,352.42,18.11,8.11
RO,Romania,Europe,2024,140.82,493.61,319.25,283.51,360.96,18.07,8.17
RO,Romania,Europe,all,114.34,562.85,348.23,302.55,395.61,19.56,8.11
RS,Serbia,Europe,2021,304.83,716.06,531.2,483.73,587.04,14.24,8.27
RS,Serbia,Europe,2022,336.2,724.78,552.38,499.43,606.39,12.06,5.89
RS,Serbia,Europe,2023,305.13,734.59,502.09,443.54,560.97,16.29,6.16
RS,Serbia,Europe,2024,251.98,716.54,513.43,466.4,560.2,13.36,8.12
RS,Serbia,Europe,all,251.98,734.59,524.77,472.17,581.76,14.45,7.11
SE,Sweden4,Europe,2021,22.47,77.25,31.44,27.58,32.39,21.78,8.96
SE,Sweden4,Europe,2022,13.17,88.77,24.8,19.46,27.93,32.26,10.8
SE,Sweden4,Europe,2023,12.41,81.55,23.71,17.54,26.65,36.56,13.71
SE,Sweden4,Europe,2024,11.31,73.52,21.8,16.04,23.88,41.97,18.99
SE,Sweden4,Europe,all,11.31,88.77,25.43,18.79,28.72,35.3,13.12
SE-SE1,North Sweden,Europe,2021,11.9,36.09,14.22,13.45,14.71,8.85,4.27
SE-SE1,North Sweden,Europe,2022,11.22,54.82,15.95,14.32,17.1,15.93,7.3
SE-SE1,North Sweden,Europe,2023,10.73,42.26,16.26,13.53,17.58,25.05,13.44
SE-SE1,North Sweden,Europe,2024,10.97,43.71,15.31,12.68,16.31,26.01,13.91
SE-SE1,North Sweden,Europe,all,10.73,54.82,15.44,13.46,16.31,21.23,9.73
SE-SE2,North Central Sweden,Europe,2021,16.04,22.15,17.68,17.29,18.0,3.13,2.34
SE-SE2,North Central Sweden,Europe,2022,12.78,27.82,16.5,15.39,17.52,9.54,3.72
SE-SE2,North Central Sweden,Europe,2023,11.3,33.6,17.26,15.71,18.69,15.17,6.2
SE-SE2,North Central Sweden,Europe,2024,11.02,32.78,15.64,13.13,17.55,18.48,5.79
SE-SE2,North Central Sweden,Europe,all,11.02,33.6,16.77,15.45,18.0,13.47,4.51
SE-SE3,South Central Sweden,Europe,2021,23.0,51.59,30.89,28.9,31.27,11.7,5.81
SE-SE3,South Central Sweden,Europe,2022,12.45,58.5,23.96,18.59,28.02,28.49,9.58
SE-SE3,South Central Sweden,Europe,2023,11.67,50.98,22.23,16.9,26.3,28.6,11.3
SE-SE3,South Central Sweden,Europe,2024,10.57,54.17,19.72,15.23,23.23,29.47,14.4
SE-SE3,South Central Sweden,Europe,all,10.57,58.5,24.2,18.09,29.37,29.41,10.28
SE-SE4,South Sweden,Europe,2021,27.62,300.6,58.01,40.99,60.02,54.65,22.22
SE-SE4,South Sweden,Europe,2022,15.46,298.04,38.31,25.31,40.11,70.72,21.35
SE-SE4,South Sweden,Europe,2023,14.63,299.95,38.13,21.35,36.81,87.66,27.87
SE-SE4,South Sweden,Europe,2024,13.72,272.21,37.64,19.73,33.81,99.75,38.81
SE-SE4,South Sweden,Europe,all,13.72,300.6,43.02,23.88,44.33,78.54,27.57
SG,Singapore,Asia,2021,473.04,501.63,491.63,489.14,494.57,0.9,0.82
SG,Singapore,Asia,2022,462.91,502.14,491.52,487.51,496.46,1.5,1.42
SG,Singapore,Asia,2023,451.05,499.49,488.09,483.27,494.79,2.03,1.88
SG,Singapore,Asia,2024,437.91,499.29,485.42,477.83,494.81,2.71,2.6
SG,Singapore,Asia,all,437.91,502.14,489.16,485.97,495.14,1.97,1.68
SI,Slovenia,Europe,2021,31.78,527.28,268.16,197.52,330.04,33.03,10.25
SI,Slovenia,Europe,2022,49.85,479.2,276.66,222.83,331.82,27.66,12.79
SI,Slovenia,Europe,2023,31.06,523.2,242.26,194.92,295.24,33.32,13.94
SI,Slovenia,Europe,2024,21.63,475.56,225.16,172.91,281.34,35.85,14.89
SI,Slovenia,Europe,all,21.63,527.28,253.04,195.43,311.47,33.31,12.97
SK,Slovakia,Europe,2021,115.74,505.99,324.39,269.75,383.67,23.77,9.39
SK,Slovakia,Europe,2022,140.36,534.91,358.74,320.54,401.69,16.4,10.05
SK,Slovakia,Europe,2023,26.04,454.62,233.1,172.29,291.99,31.97,16.04
SK,Slovakia,Europe,2024,73.72,486.11,238.05,178.08,296.31,32.76,16.9
SK,Slovakia,Europe,all,26.04,534.91,288.54,219.99,359.15,31.42,13.1
TR,Turkey,Asia,2021,298.02,589.56,449.83,418.98,481.83,10.62,5.83
TR,Turkey,Asia,2022,181.68,596.16,430.88,382.99,483.64,16.27,5.15
TR,Turkey,Asia,2023,252.9,605.31,437.17,392.62,482.17,14.32,5.74
TR,Turkey,Asia,2024,184.89,600.32,422.06,381.6,468.91,15.9,6.97
TR,Turkey,Asia,all,181.68,605.31,434.98,394.77,479.63,14.56,5.92
TW,Taiwan,Asia,2021,437.49,607.41,541.42,521.7,565.98,5.59,3.75
TW,Taiwan,Asia,2022,415.19,603.74,535.71,515.23,559.62,6.03,4.79
TW,Taiwan,Asia,2023,400.97,642.85,538.01,509.58,574.7,8.41,6.33
TW,Taiwan,Asia,2024,312.73,614.26,525.96,495.55,564.67,9.3,7.82
TW,Taiwan,Asia,all,312.73,642.85,535.27,512.48,565.01,7.55,5.68
US,United States54,North America,2021,317.58,546.68,432.74,408.08,465.03,9.67,2.97
US,United States54,North America,2022,320.11,516.2,422.9,407.25,447.37,7.94,2.84
US,United States54,North America,2023,293.87,495.37,405.34,378.72,434.34,9.29,3.72
US,United States54,North America,2024,273.0,504.51,401.47,375.77,423.37,9.78,4.3
US,United States54,North America,all,273.0,546.68,415.6,389.69,441.3,9.69,3.46
US-CAL-BANC,Balancing Authority of Northern California,North America,2021,45.0,518.51,277.43,235.72,322.39,24.8,10.64
US-CAL-BANC,Balancing Authority of Northern California,North America,2022,42.68,496.44,255.86,203.0,304.8,29.45,11.35
US-CAL-BANC,Balancing Authority of Northern California,North America,2023,45.45,700.0,267.3,212.09,325.47,33.67,13.49
US-CAL-BANC,Balancing Authority of Northern California,North America,2024,83.95,700.0,272.65,204.59,335.35,31.96,12.43
US-CAL-BANC,Balancing Authority of Northern California,North America,all,42.68,700.0,268.31,213.67,321.81,30.26,11.98
US-CAL-CISO,CAISO,North America,2021,99.5,417.95,273.43,224.9,326.16,24.58,20.73
US-CAL-CISO,CAISO,North America,2022,88.8,453.22,262.32,207.73,321.23,29.47,22.22
US-CAL-CISO,CAISO,North America,2023,92.89,430.43,260.75,198.78,323.76,28.98,20.92
US-CAL-CISO,CAISO,North America,2024,50.64,422.56,226.48,150.35,304.39,39.52,32.17
US-CAL-CISO,CAISO,North America,all,50.64,453.22,255.72,195.11,320.13,31.2,24.02
US-CAL-IID,Imperial Irrigation District,North America,2021,428.64,694.63,599.57,551.67,641.93,8.91,7.84
US-CAL-IID,Imperial Irrigation District,North America,2022,282.11,698.86,541.3,403.44,643.66,22.34,22.03
US-CAL-IID,Imperial Irrigation District,North America,2023,98.37,697.67,543.84,415.63,646.15,21.49,20.91
US-CAL-IID,Imperial Irrigation District,North America,2024,39.52,684.56,525.09,395.8,635.89,23.9,22.73
US-CAL-IID,Imperial Irrigation District,North America,all,39.52,698.86,552.43,444.69,642.86,20.25,18.38
US-CAL-LDWP,Los Angeles Department of Water and Power,North America,2021,98.37,756.25,397.63,328.29,459.98,24.62,12.23
US-CAL-LDWP,Los Angeles Department of Water and Power,North America,2022,63.45,723.22,361.87,283.16,427.64,31.18,12.75
US-CAL-LDWP,Los Angeles Department of Water and Power,North America,2023,88.71,684.21,381.0,311.68,458.08,25.92,14.74
US-CAL-LDWP,Los Angeles Department of Water and Power,North America,2024,112.01,700.0,390.47,300.23,469.77,31.53,17.39
US-CAL-LDWP,Los Angeles Department of Water and Power,North America,all,63.45,756.25,382.75,304.88,456.65,28.61,14.28
US-CAL-TIDC,Turlock Irrigation District,North America,2021,129.17,599.37,384.53,317.7,456.71,25.37,18.53
US-CAL-TIDC,Turlock Irrigation District,North America,2022,123.82,599.98,392.61,326.3,470.38,24.01,17.24
US-CAL-TIDC,Turlock Irrigation District,North America,2023,150.12,600.85,385.02,301.82,456.64,26.9,14.43
US-CAL-TIDC,Turlock Irrigation District,North America,2024,79.9,600.85,437.37,383.08,542.31,28.91,9.77
US-CAL-TIDC,Turlock Irrigation District,North America,all,79.9,600.85,399.91,326.29,477.05,27.12,14.99
US-CAR-CPLE,Duke Energy Progress East,North America,2021,84.23,558.91,311.7,238.55,388.73,30.64,16.18
US-CAR-CPLE,Duke Energy Progress East,North America,2022,77.88,569.73,320.41,262.55,374.16,27.76,15.26
US-CAR-CPLE,Duke Energy Progress East,North America,2023,18.39,804.04,289.08,215.99,360.02,35.18,18.74
US-CAR-CPLE,Duke Energy Progress East,North America,2024,28.69,783.66,330.46,267.11,389.81,28.19,18.03
US-CAR-CPLE,Duke Energy Progress East,North America,all,18.39,804.04,312.92,245.28,379.27,30.73,17.05
US-CAR-CPLW,Duke Energy Progress West,North America,2021,230.5,602.19,467.47,427.35,509.52,11.98,5.25
US-CAR-CPLW,Duke Energy Progress West,North America,2022,222.66,577.46,477.41,450.34,516.95,9.97,4.59
US-CAR-CPLW,Duke Energy Progress West,North America,2023,184.0,569.03,476.17,441.96,534.03,13.91,5.61
US-CAR-CPLW,Duke Energy Progress West,North America,2024,209.32,700.0,477.8,445.25,529.24,13.45,6.04
US-CAR-CPLW,Duke Energy Progress West,North America,all,184.0,700.0,474.72,442.54,522.58,12.46,5.37
US-CAR-DUK,Duke Energy Carolinas,North America,2021,151.7,442.52,289.96,254.91,325.32,17.34,8.59
US-CAR-DUK,Duke Energy Carolinas,North America,2022,135.31,409.56,299.23,269.58,336.6,16.88,6.98
US-CAR-DUK,Duke Energy Carolinas,North America,2023,52.66,409.83,284.36,253.13,321.11,18.77,8.43
US-CAR-DUK,Duke Energy Carolinas,North America,2024,154.21,670.13,297.36,258.97,334.88,18.09,8.72
US-CAR-DUK,Duke Energy Carolinas,North America,all,52.66,670.13,292.73,258.93,329.76,17.88,8.18
US-CAR-SC,South Carolina Public Service Authority,North America,2021,253.11,938.42,637.55,573.73,711.31,16.6,5.99
US-CAR-SC,South Carolina Public Service Authority,North America,2022,211.84,825.83,611.82,561.68,663.73,13.2,5.65
US-CAR-SC,South Carolina Public Service Authority,North America,2023,390.76,942.59,642.44,574.73,710.14,14.11,6.39
US-CAR-SC,South Carolina Public Service Authority,North America,2024,280.89,1153.72,627.82,541.27,722.4,20.06,8.06
US-CAR-SC,South Carolina Public Service Authority,North America,all,211.84,1153.72,629.9,565.27,703.44,16.34,6.52
US-CAR-SCEG,South Carolina Electric & Gas Company,North America,2021,115.91,916.52,478.6,427.03,531.67,18.72,8.6
US-CAR-SCEG,South Carolina Electric & Gas Company,North America,2022,213.16,757.86,445.67,412.15,488.25,13.84,8.73
US-CAR-SCEG,South Carolina Electric & Gas Company,North America,2023,87.16,717.74,453.25,417.69,490.75,15.1,8.56
US-CAR-SCEG,South Carolina Electric & Gas Company,North America,2024,183.92,740.8,457.39,417.12,495.59,15.32,8.75
US-CAR-SCEG,South Carolina Electric & Gas Company,North America,all,87.16,916.52,458.73,417.44,499.45,16.18,8.66
US-CAR-YAD,"""Alcoa Power Generating, Inc. Yadkin Division""",North America,2021,24.0,554.65,90.02,24.0,109.79,118.72,65.54
US-CAR-YAD,"""Alcoa Power Generating, Inc. Yadkin Division""",North America,2022,24.0,514.16,95.06,24.0,163.67,114.31,74.92
US-CAR-YAD,"""Alcoa Power Generating, Inc. Yadkin Division""",North America,2023,24.0,441.65,45.01,24.0,47.87,98.58,47.37
US-CAR-YAD,"""Alcoa Power Generating, Inc. Yadkin Division""",North America,2024,24.0,459.6,45.62,24.0,45.91,109.5,49.0
US-CAR-YAD,"""Alcoa Power Generating, Inc. Yadkin Division""",North America,all,24.0,554.65,68.91,24.0,68.91,125.51,59.2
US-CENT-SPA,Southwestern Power Administration,North America,2021,24.0,734.22,229.04,133.7,318.16,70.54,20.29
US-CENT-SPA,Southwestern Power Administration,North America,2022,24.0,754.29,287.8,126.62,467.16,71.97,33.36
US-CENT-SPA,Southwestern Power Administration,North America,2023,24.0,709.36,126.68,24.0,197.91,123.14,48.55
US-CENT-SPA,Southwestern Power Administration,North America,2024,24.0,716.05,133.63,24.0,222.6,112.09,51.16
US-CENT-SPA,Southwestern Power Administration,North America,all,24.0,754.29,194.25,24.0,302.24,94.21,38.35
US-CENT-SWPP,Southwest Power Pool,North America,2021,137.37,771.04,478.65,352.57,605.22,31.11,14.9
US-CENT-SWPP,Southwest Power Pool,North America,2022,149.98,754.79,462.77,338.45,588.0,31.4,14.76
US-CENT-SWPP,Southwest Power Pool,North America,2023,141.78,709.04,431.34,311.71,552.43,32.19,16.21
US-CENT-SWPP,Southwest Power Pool,North America,2024,156.28,714.36,417.4,311.1,520.63,31.11,16.22
US-CENT-SWPP,Southwest Power Pool,North America,all,137.37,771.04,447.52,325.76,568.26,31.95,15.52
US-FLA-FMPP,Florida Municipal Power Pool,North America,2021,428.48,711.99,584.12,558.29,610.56,6.82,4.13
US-FLA-FMPP,Florida Municipal Power Pool,North America,2022,348.59,866.7,565.62,541.46,585.29,6.8,4.25
US-FLA-FMPP,Florida Municipal Power Pool,North America,2023,292.1,722.16,534.67,508.53,564.49,8.71,4.98
US-FLA-FMPP,Florida Municipal Power Pool,North America,2024,374.5,705.36,535.78,511.11,559.62,6.93,4.73
US-FLA-FMPP,Florida Municipal Power Pool,North America,all,292.1,866.7,555.04,527.53,583.69,8.24,4.52
US-FLA-FPC,Duke Energy Florida,North America,2021,476.4,611.9,547.91,537.96,560.46,3.15,2.42
US-FLA-FPC,Duke Energy Florida,North America,2022,357.59,620.35,536.73,521.11,551.88,4.51,3.63
US-FLA-FPC,Duke Energy Florida,North America,2023,384.19,611.52,516.92,496.98,537.61,5.73,4.95
US-FLA-FPC,Duke Energy Florida,North America,2024,246.48,573.42,503.46,481.17,530.84,7.72,6.78
US-FLA-FPC,Duke Energy Florida,North America,all,246.48,620.35,526.24,513.05,548.41,6.34,4.45
US-FLA-FPL,Florida Power and Light Company,North America,2021,211.93,549.02,396.64,373.76,423.14,9.4,5.55
US-FLA-FPL,Florida Power and Light Company,North America,2022,221.74,480.79,398.82,377.24,422.62,8.31,5.95
US-FLA-FPL,Florida Power and Light Company,North America,2023,183.29,448.11,370.26,346.07,395.39,9.7,8.08
US-FLA-FPL,Florida Power and Light Company,North America,2024,184.66,474.32,369.71,342.45,406.16,13.15,9.94
