region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
BG,Bulgaria,Europe,2024,108.02,701.23,340.71,254.75,413.39,32.69,15.6
BG,Bulgaria,Europe,all,108.02,761.09,437.32,352.47,530.38,28.0,9.14
BR,Brazil4,South America,2021,71.58,280.54,170.99,129.08,207.56,26.83,7.34
BR,Brazil4,South America,2022,53.13,144.55,92.78,80.16,105.53,18.56,7.22
BR,Brazil4,South America,2023,46.99,147.45,83.06,69.45,94.78,21.37,7.15
BR,Brazil4,South America,2024,50.72,177.01,92.03,70.46,109.46,28.84,6.53
BR,Brazil4,South America,all,46.99,280.54,109.7,78.98,123.19,41.98,7.06
BR-CS,Central Brazil,South America,2021,67.47,291.88,172.54,125.89,217.82,30.93,6.8
BR-CS,Central Brazil,South America,2022,55.42,166.54,101.61,82.34,118.08,22.46,7.49
BR-CS,Central Brazil,South America,2023,45.99,152.04,90.27,69.4,107.65,25.35,7.39
BR-CS,Central Brazil,South America,2024,44.08,213.11,103.26,70.87,130.6,34.68,7.32
BR-CS,Central Brazil,South America,all,44.08,291.88,116.91,83.17,134.86,41.46,7.25
BR-N,North Brazil,South America,2021,49.35,355.4,183.33,95.07,251.16,43.31,6.59
BR-N,North Brazil,South America,2022,36.91,357.04,105.08,60.14,135.47,44.47,8.53
BR-N,North Brazil,South America,2023,48.78,341.28,106.97,69.28,124.69,41.92,9.03
BR-N,North Brazil,South America,2024,46.12,311.73,131.58,75.36,173.25,41.85,9.8
BR-N,North Brazil,South America,all,36.91,357.04,131.74,70.57,174.59,50.23,8.49
BR-NE,North-East Brazil,South America,2021,39.49,342.39,154.93,107.53,199.35,39.07,8.46
BR-NE,North-East Brazil,South America,2022,28.78,184.65,52.01,40.71,53.05,41.36,9.22
BR-NE,North-East Brazil,South America,2023,20.28,181.17,42.83,32.47,48.18,38.45,13.98
BR-NE,North-East Brazil,South America,2024,18.23,145.75,44.26,30.11,53.86,43.11,17.59
BR-NE,North-East Brazil,South America,all,18.23,342.39,73.49,37.41,79.31,79.48,12.31
BR-S,South Brazil,South America,2021,79.19,362.35,176.21,139.74,204.85,27.78,18.61
BR-S,South Brazil,South America,2022,30.51,216.9,95.08,73.9,110.61,32.16,11.96
BR-S,South Brazil,South America,2023,40.94,268.49,85.51,68.74,97.23,30.06,12.39
BR-S,South Brazil,South America,2024,27.77,209.03,79.0,65.78,88.98,26.11,11.54
BR-S,South Brazil,South America,all,27.77,362.35,108.93,72.43,134.13,47.21,13.62
CA-ON,Ontario,North America,2021,11.28,171.95,49.62,19.37,70.58,69.85,35.29
CA-ON,Ontario,North America,2022,12.63,181.04,59.3,27.26,84.56,60.17,35.3
CA-ON,Ontario,North America,2023,8.99,190.58,72.85,39.21,102.71,54.21,32.4
CA-ON,Ontario,North America,2024,10.23,166.37,87.67,60.16,117.34,41.01,28.15
CA-ON,Ontario,North America,all,8.99,190.58,67.37,31.48,97.42,58.2,32.78
CA-QC,Québec,North America,2021,26.19,45.3,28.51,28.03,28.78,5.82,1.48
CA-QC,Québec,North America,2022,25.81,37.87,28.36,27.4,29.18,4.57,1.82
CA-QC,Québec,North America,2023,26.07,52.13,30.74,28.01,31.87,12.19,4.61
CA-QC,Québec,North America,2024,11.04,120.5,35.33,30.32,39.57,15.5,8.18
CA-QC,Québec,North America,all,11.04,120.5,30.74,28.05,31.29,14.58,4.03
CH,Switzerland,Europe,2021,38.62,394.92,129.05,81.47,162.02,45.4,21.96
CH,Switzerland,Europe,2022,39.61,369.34,148.59,105.32,178.59,38.32,24.99
CH,Switzerland,Europe,2023,21.66,326.09,82.07,59.44,90.22,49.06,19.68
CH,Switzerland,Europe,2024,21.65,185.27,60.79,48.86,64.95,33.79,17.12
CH,Switzerland,Europe,all,21.65,394.92,105.09,61.6,134.71,55.63,20.93
CL-SEN,Sistema Eléctrico Nacional,South America,2021,185.59,609.89,408.3,352.15,476.0,21.2,16.25
CL-SEN,Sistema Eléctrico Nacional,South America,2022,122.0,556.39,324.42,247.62,406.06,30.97,24.23
CL-SEN,Sistema Eléctrico Nacional,South America,2023,80.19,557.74,275.61,188.2,362.36,40.73,31.15
CL-SEN,Sistema Eléctrico Nacional,South America,2024,73.86,505.66,238.07,154.75,308.69,41.25,32.46
CL-SEN,Sistema Eléctrico Nacional,South America,all,73.86,609.89,311.55,220.33,407.72,38.0,26.03
CR,Costa Rica,Central America,2021,22.18,92.06,40.33,33.97,46.1,21.49,10.26
CR,Costa Rica,Central America,2022,23.7,167.34,46.95,37.75,50.06,37.11,12.21
CR,Costa Rica,Central America,2023,21.98,256.63,70.37,28.44,96.99,65.67,18.24
CR,Costa Rica,Central America,2024,16.66,314.9,94.23,25.52,153.87,74.71,17.94
CR,Costa Rica,Central America,all,16.66,314.9,62.99,32.32,72.66,76.47,14.67
CY,Cyprus,Asia,2021,427.36,948.23,822.25,755.29,910.91,12.79,11.47
CY,Cyprus,Asia,2022,352.89,949.12,810.16,722.77,914.73,15.31,14.21
CY,Cyprus,Asia,2023,340.53,879.64,720.33,591.62,848.5,20.91,20.33
CY,Cyprus,Asia,2024,292.28,878.43,698.95,529.06,846.06,24.73,24.3
CY,Cyprus,Asia,all,292.28,949.12,762.88,676.66,870.46,19.74,17.58
CZ,Czechia,Europe,2021,267.17,673.91,521.26,475.31,576.72,13.67,5.97
CZ,Czechia,Europe,2022,292.77,683.64,547.44,512.58,591.99,10.97,5.91
CZ,Czechia,Europe,2023,243.82,733.37,519.3,453.28,593.04,17.33,7.28
CZ,Czechia,Europe,2024,172.36,715.58,476.72,402.39,560.44,22.91,11.53
CZ,Czechia,Europe,all,172.36,733.37,516.15,463.51,581.95,17.14,7.67
DE,Germany,Europe,2021,131.14,688.96,436.09,347.73,534.4,28.52,13.54
DE,Germany,Europe,2022,163.35,768.75,477.86,382.97,580.1,27.88,15.15
DE,Germany,Europe,2023,126.85,725.46,366.97,256.11,465.43,37.17,17.27
DE,Germany,Europe,2024,107.06,653.68,332.07,228.95,422.0,36.22,20.02
DE,Germany,Europe,all,107.06,768.75,403.2,289.54,514.22,34.93,16.5
DK,Denmark3,Europe,2021,62.49,565.79,207.64,158.58,241.09,36.23,14.65
DK,Denmark3,Europe,2022,52.42,552.84,182.39,128.99,225.47,39.8,17.15
DK,Denmark3,Europe,2023,35.53,525.26,129.45,88.4,152.98,48.89,18.66
DK,Denmark3,Europe,2024,33.57,439.57,120.58,80.66,145.14,47.87,21.16
DK,Denmark3,Europe,all,33.57,565.79,159.99,104.17,200.87,47.93,17.91
DK-BHM,Bornholm,Europe,2021,12.62,249.86,63.3,33.0,89.24,60.21,35.29
DK-BHM,Bornholm,Europe,2022,12.62,252.62,65.94,22.29,92.74,84.3,39.33
DK-BHM,Bornholm,Europe,2023,12.62,284.3,53.46,28.66,80.53,65.01,32.58
DK-BHM,Bornholm,Europe,2024,12.62,229.5,56.68,29.72,84.17,65.57,33.01
DK-BHM,Bornholm,Europe,all,12.62,284.3,59.84,28.35,86.7,71.05,35.05
DK-DK1,West Denmark,Europe,2021,56.15,616.99,209.1,146.27,253.69,42.52,18.1
DK-DK1,West Denmark,Europe,2022,42.35,620.72,197.59,134.47,243.64,44.47,19.76
DK-DK1,West Denmark,Europe,2023,30.55,615.54,129.73,81.42,157.79,55.16,22.76
DK-DK1,West Denmark,Europe,2024,26.55,434.77,118.55,73.87,146.4,52.38,24.81
DK-DK1,West Denmark,Europe,all,26.55,620.72,163.71,99.87,208.23,53.77,21.36
DK-DK2,East Denmark,Europe,2021,47.91,516.32,206.92,156.94,240.12,36.88,17.04
