workload,NoH,battery,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
borg,1534,10_1000,normal,AU-NT,no,2679100797,1768896300000.0,-9999.0,-9999.0,241677552.0555648,58643559.11241438,8495.373,300329606.54097915
borg,1534,10_1000,normal,US-NW-GRID,no,2679100797,1769026500000.0,-9999.0,-9999.0,229387442.29777008,58643559.11241438,8495.373,288039496.78318447
borg,1534,10_1000,normal,SE-SE4,no,2679100797,1768856200000.0,-9999.0,-9999.0,23714223.81306163,58643559.11241438,8495.373,82366278.29847601
borg,1534,10_1000,normal,US-MIDA-PJM,no,2679100797,1768604600000.0,-9999.0,-9999.0,174757496.6603317,58643559.11241438,8495.373,233409551.14574608
borg,1534,10_1000,normal,US-CAL-CISO,no,2679100797,1768625500000.0,-9999.0,-9999.0,91723921.94971044,58643559.11241438,8495.373,150375976.4351248
borg,1534,10_1000,normal,JP-HR,no,2679100797,1768498300000.0,-9999.0,-9999.0,218541536.07135785,58643559.11241438,8495.373,277193590.55677223
borg,1534,10_1000,normal,MY,no,2679100797,1768471300000.0,-9999.0,-9999.0,264779760.06346023,58643559.11241438,8495.373,323431814.5488746
borg,1534,10_1000,normal,SE,no,2679100797,1768708000000.0,-9999.0,-9999.0,13222744.003008306,58643559.11241438,8495.373,71874798.48842269
borg,1534,10_1000,normal,PL,no,2679100797,1768640500000.0,-9999.0,-9999.0,354549088.04414,58643559.11241438,8495.373,413201142.52955437
borg,1534,10_1000,normal,IT-CNO,no,2679100797,1768573500000.0,-9999.0,-9999.0,113593744.03352524,58643559.11241438,8495.373,172245798.5189396
borg,1534,10_1000,normal,US-NW-BPAT,no,2679100797,1768886400000.0,-9999.0,-9999.0,49898626.25050697,58643559.11241438,8495.373,108550680.73592135
borg,1534,10_1000,normal,TR,no,2679100797,1768667900000.0,-9999.0,-9999.0,209630112.0618561,58643559.11241438,8495.373,268282166.54727048
borg,1534,10_1000,normal,US-NW-CHPD,no,2679100797,1768929200000.0,-9999.0,-9999.0,12883933.00217647,58643559.11241438,8495.373,71535987.48759085
borg,1534,10_1000,normal,AU-NSW,no,2679100797,1768684100000.0,-9999.0,-9999.0,275971232.0178508,58643559.11241438,8495.373,334623286.5032652
borg,1534,10_1000,normal,US-CAL-TIDC,no,2679100797,1768810000000.0,-9999.0,-9999.0,193589385.69777155,58643559.11241438,8495.373,252241440.18318594
borg,1534,10_1000,normal,DK-BHM,no,2679100797,1768693200000.0,-9999.0,-9999.0,35804528.00703512,58643559.11241438,8495.373,94456582.4924495
borg,1534,10_1000,normal,BR-CS,no,2679100797,1769263000000.0,-9999.0,-9999.0,30897241.421490848,58643559.11241438,8495.373,89549295.90690523
borg,1534,10_1000,normal,US-SE-SOCO,no,2679100797,1768884000000.0,-9999.0,-9999.0,185193376.00190756,58643559.11241438,8495.373,243845430.48732194
borg,1534,10_1000,normal,NO-NO1,no,2679100797,1769111700000.0,-9999.0,-9999.0,13846237.001676966,58643559.11241438,8495.373,72498291.48709135
borg,1534,10_1000,normal,NI,no,2679100797,1768795700000.0,-9999.0,-9999.0,151925604.50585482,58643559.11241438,8495.373,210577658.9912692
borg,1534,10_1000,normal,CL-SEN,no,2679100797,1769092000000.0,-9999.0,-9999.0,138532096.01690912,58643559.11241438,8495.373,197184150.5023235
borg,1534,10_1000,normal,US-CAR-YAD,no,2679100797,1769043700000.0,-9999.0,-9999.0,17890879.265736457,58643559.11241438,8495.373,76542933.75115085
borg,1534,10_1000,normal,DK-DK1,no,2679100797,1769225000000.0,-9999.0,-9999.0,67858472.020353,58643559.11241438,8495.373,126510526.50576739
borg,1534,10_1000,normal,US-CAR-CPLW,no,2679100797,1768895700000.0,-9999.0,-9999.0,183106618.8662212,58643559.11241438,8495.373,241758673.35163558
borg,1534,10_1000,normal,CH,no,2679100797,1768565000000.0,-9999.0,-9999.0,29297744.009217747,58643559.11241438,8495.373,87949798.49463212
borg,1534,10_1000,normal,IL,no,2679100797,1768965300000.0,-9999.0,-9999.0,261789408.0556585,58643559.11241438,8495.373,320441462.54107285
borg,1534,10_1000,normal,US-FLA-GVL,no,2679100797,1769080900000.0,-9999.0,-9999.0,272228448.0501544,58643559.11241438,8495.373,330880502.5355688
borg,1534,10_1000,normal,FR,no,2679100797,1769017000000.0,-9999.0,-9999.0,20049870.511197444,58643559.11241438,8495.373,78701924.99661183
borg,1534,10_1000,normal,GR,no,2679100797,1768647300000.0,-9999.0,-9999.0,173467744.02289107,58643559.11241438,8495.373,232119798.50830546
borg,1534,10_1000,normal,US-NW-PACE,no,2679100797,1768885300000.0,-9999.0,-9999.0,277901894.99221474,58643559.11241438,8495.373,336553949.4776291
borg,1534,10_1000,normal,US-NW-NEVP,no,2679100797,1768588200000.0,-9999.0,-9999.0,206839147.5939617,58643559.11241438,8495.373,265491202.07937607
borg,1534,10_1000,normal,US-NW-PACW,no,2679100797,1768766000000.0,-9999.0,-9999.0,94629032.0176558,58643559.11241438,8495.373,153281086.50307018
borg,1534,10_1000,normal,SG,no,2679100797,1769086400000.0,-9999.0,-9999.0,237835216.02560803,58643559.11241438,8495.373,296487270.51102245
borg,1534,10_1000,normal,IT-SO,no,2679100797,1769083900000.0,-9999.0,-9999.0,117689320.03065015,58643559.11241438,8495.373,176341374.51606452
borg,1534,10_1000,normal,AU-TAS,no,2679100797,1769127300000.0,-9999.0,-9999.0,76766848.01751897,58643559.11241438,8495.373,135418902.50293335
borg,1534,10_1000,normal,JP-CG,no,2679100797,1768584400000.0,-9999.0,-9999.0,226627344.01996544,58643559.11241438,8495.373,285279398.5053798
borg,1534,10_1000,normal,AU-VIC,no,2679100797,1769272000000.0,-9999.0,-9999.0,256116516.5572524,58643559.11241438,8495.373,314768571.0426668
borg,1534,10_1000,normal,US-NE-ISNE,no,2679100797,1768861300000.0,-9999.0,-9999.0,130247967.66657718,58643559.11241438,8495.373,188900022.15199155
borg,1534,10_1000,normal,JP-TH,no,2679100797,1768994200000.0,-9999.0,-9999.0,234016976.03593948,58643559.11241438,8495.373,292669030.52135384
borg,1534,10_1000,normal,EE,no,2679100797,1769015500000.0,-9999.0,-9999.0,163304843.64693204,58643559.11241438,8495.373,221956898.13234642
borg,1534,10_1000,normal,NZ,no,2679100797,1768894500000.0,-9999.0,-9999.0,62976438.724441566,58643559.11241438,8495.373,121628493.20985594
borg,1534,10_1000,normal,GB,no,2679100797,1768927000000.0,-9999.0,-9999.0,79247126.50185993,58643559.11241438,8495.373,137899180.98727432
borg,1534,10_1000,normal,CA-ON,no,2679100797,1768585300000.0,-9999.0,-9999.0,42016484.01474955,58643559.11241438,8495.373,100668538.50016394
borg,1534,10_1000,normal,DE,no,2679100797,1768774400000.0,-9999.0,-9999.0,170616467.61792427,58643559.11241438,8495.373,229268522.10333866
borg,1534,10_1000,normal,US-FLA-FMPP,no,2679100797,1768814800000.0,-9999.0,-9999.0,264105792.057126,58643559.11241438,8495.373,322757846.5425404
borg,1534,10_1000,normal,JP-TK,no,2679100797,1768869300000.0,-9999.0,-9999.0,264474832.0567216,58643559.11241438,8495.373,323126886.54213595
borg,1534,10_1000,normal,US-CENT-SPA,no,2679100797,1768650000000.0,-9999.0,-9999.0,49812616.01166838,58643559.11241438,8495.373,108464670.49708277
borg,1534,10_1000,normal,IS,no,2679100797,1768955400000.0,-9999.0,-9999.0,13945254.00391314,58643559.11241438,8495.373,72597308.48932752
borg,1534,10_1000,normal,PH-VI,no,2679100797,1769119000000.0,-9999.0,-9999.0,292377280.07635057,58643559.11241438,8495.373,351029334.56176496
borg,1534,10_1000,normal,US-NW-PSCO,no,2679100797,1768999200000.0,-9999.0,-9999.0,190762267.9084352,58643559.11241438,8495.373,249414322.39384958
borg,1534,10_1000,normal,BR-S,no,2679100797,1768948500000.0,-9999.0,-9999.0,34305191.62691179,58643559.11241438,8495.373,92957246.11232617
borg,1534,10_1000,normal,NO-NO5,no,2679100797,1768806400000.0,-9999.0,-9999.0,13423083.003516192,58643559.11241438,8495.373,72075137.48893058
borg,1534,10_1000,normal,JP,no,2679100797,1768533100000.0,-9999.0,-9999.0,226189808.02362415,58643559.11241438,8495.373,284841862.50903857
borg,1534,10_1000,normal,IT-SAR,no,2679100797,1769008700000.0,-9999.0,-9999.0,237487072.06560764,58643559.11241438,8495.373,296139126.55102205
borg,1534,10_1000,normal,US-SW-TEPC,no,2679100797,1768745000000.0,-9999.0,-9999.0,274191025.3020179,58643559.11241438,8495.373,332843079.7874323
borg,1534,10_1000,normal,BR,no,2679100797,1768772300000.0,-9999.0,-9999.0,30368421.37037362,58643559.11241438,8495.373,89020475.855788
borg,1534,10_1000,normal,DK-DK2,no,2679100797,1769396900000.0,-9999.0,-9999.0,76007736.01740642,58643559.11241438,8495.373,134659790.5028208
borg,1534,10_1000,normal,US-NW-PGE,no,2679100797,1768683300000.0,-9999.0,-9999.0,101018573.86772318,58643559.11241438,8495.373,159670628.35313755
borg,1534,10_1000,normal,LU,no,2679100797,1768757700000.0,-9999.0,-9999.0,132397800.02697805,58643559.11241438,8495.373,191049854.51239243
borg,1534,10_1000,normal,HR,no,2679100797,1769002900000.0,-9999.0,-9999.0,102662653.86389816,58643559.11241438,8495.373,161314708.34931254
borg,1534,10_1000,normal,BG,no,2679100797,1768722000000.0,-9999.0,-9999.0,143280224.37515858,58643559.11241438,8495.373,201932278.86057296
borg,1534,10_1000,normal,US-MIDW-LGEE,no,2679100797,1768744600000.0,-9999.0,-9999.0,426885748.0048026,58643559.11241438,8495.373,485537802.490217
borg,1534,10_1000,normal,MY-WM,no,2679100797,1769037100000.0,-9999.0,-9999.0,314560448.0129245,58643559.11241438,8495.373,373212502.4983389
borg,1534,10_1000,normal,AT,no,2679100797,1769048500000.0,-9999.0,-9999.0,64852384.11505103,58643559.11241438,8495.373,123504438.60046542
borg,1534,10_1000,normal,US-FLA-TEC,no,2679100797,1768668700000.0,-9999.0,-9999.0,250369893.7836246,58643559.11241438,8495.373,309021948.269039
borg,1534,10_1000,normal,ZA,no,2679100797,1768945200000.0,-9999.0,-9999.0,352557399.5511277,58643559.11241438,8495.373,411209454.03654206
borg,1534,10_1000,normal,LV,no,2679100797,1768894800000.0,-9999.0,-9999.0,55787429.68636236,58643559.11241438,8495.373,114439484.17177674
borg,1534,10_1000,normal,AU-SA,no,2679100797,1769246300000.0,-9999.0,-9999.0,91283944.01761384,58643559.11241438,8495.373,149935998.5030282
borg,1534,10_1000,normal,US-TEN-TVA,no,2679100797,1768871400000.0,-9999.0,-9999.0,153839985.2541672,58643559.11241438,8495.373,212492039.73958158
borg,1534,10_1000,normal,US-NW-DOPD,no,2679100797,1768846000000.0,-9999.0,-9999.0,15217858.574303208,58643559.11241438,8495.373,73869913.0597176
borg,1534,10_1000,normal,HU,no,2679100797,1769057800000.0,-9999.0,-9999.0,122192788.44060013,58643559.11241438,8495.373,180844842.9260145
borg,1534,10_1000,normal,DK,no,2679100797,1768843600000.0,-9999.0,-9999.0,70672800.00304201,58643559.11241438,8495.373,129324854.4884564
borg,1534,10_1000,normal,TW,no,2679100797,1768540600000.0,-9999.0,-9999.0,253881696.0607441,58643559.11241438,8495.373,312533750.5461585
borg,1534,10_1000,normal,NO-NO2,no,2679100797,1768643400000.0,-9999.0,-9999.0,19581896.00594869,58643559.11241438,8495.373,78233950.49136308
borg,1534,10_1000,normal,US-CAR-SCEG,no,2679100797,1768653600000.0,-9999.0,-9999.0,202067091.70805368,58643559.11241438,8495.373,260719146.19346806
borg,1534,10_1000,normal,IN-WE,no,2679100797,1768638500000.0,-9999.0,-9999.0,373049760.10734296,58643559.11241438,8495.373,431701814.59275734
borg,1534,10_1000,normal,US-NW-SCL,no,2679100797,1769107900000.0,-9999.0,-9999.0,35948482.549728714,58643559.11241438,8495.373,94600537.0351431
borg,1534,10_1000,normal,ES,no,2679100797,1768831200000.0,-9999.0,-9999.0,49564516.001920976,58643559.11241438,8495.373,108216570.48733535
borg,1534,10_1000,normal,BR-N,no,2679100797,1768781100000.0,-9999.0,-9999.0,34862129.85937158,58643559.11241438,8495.373,93514184.34478596
borg,1534,10_1000,normal,CA-QC,no,2679100797,1768811700000.0,-9999.0,-9999.0,18444600.001131907,58643559.11241438,8495.373,77096654.4865463
borg,1534,10_1000,normal,KE,no,2679100797,1769088700000.0,-9999.0,-9999.0,47038426.9178953,58643559.11241438,8495.373,105690481.40330969
