workload,NoH,battery,battery_capacity,battery_speed,battery_embodied_rate,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
surf,277,0_1000,0,1000,100.0,normal,AT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4651016.0,19215199.15,0.0,23866215.15
surf,277,0_1000,0,1000,100.0,normal,IT-SO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,15080115.0,19215199.15,0.0,34295314.15
surf,277,0_1000,0,1000,100.0,normal,EE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,17293542.0,19215199.15,0.0,36508741.15
surf,277,0_1000,0,1000,100.0,normal,BE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,7116481.5,19215199.15,0.0,26331680.65
surf,277,0_1000,0,1000,100.0,normal,KR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,23479630.0,19215199.15,0.0,42694829.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-TEC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,29371026.0,19215199.15,0.0,48586225.15
surf,277,0_1000,0,1000,100.0,normal,IT-NO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,12081023.0,19215199.15,0.0,31296222.15
surf,277,0_1000,0,1000,100.0,normal,JP-KN,no,10702638000.0,211191169024.0,-9999.0,-9999.0,19555034.0,19215199.15,0.0,38770233.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-SEC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,33645752.0,19215199.15,0.0,52860951.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-DOPD,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1543196.75,19215199.15,0.0,20758395.9
surf,277,0_1000,0,1000,100.0,normal,SI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,10989336.0,19215199.15,0.0,30204535.15
surf,277,0_1000,0,1000,100.0,normal,US-TEX-ERCO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,19731684.0,19215199.15,0.0,38946883.15
surf,277,0_1000,0,1000,100.0,normal,ZA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,42325080.0,19215199.15,0.0,61540279.15
surf,277,0_1000,0,1000,100.0,normal,GB,no,10702638000.0,211191169024.0,-9999.0,-9999.0,8319276.5,19215199.15,0.0,27534475.65
surf,277,0_1000,0,1000,100.0,normal,LV,no,10702638000.0,211191169024.0,-9999.0,-9999.0,6489439.0,19215199.15,0.0,25704638.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-GCPD,no,10702638000.0,211191169024.0,-9999.0,-9999.0,2791102.5,19215199.15,0.0,22006301.65
surf,277,0_1000,0,1000,100.0,normal,GB-NIR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,17813228.0,19215199.15,0.0,37028427.15
surf,277,0_1000,0,1000,100.0,normal,US-MIDW-MISO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26157122.0,19215199.15,0.0,45372321.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-PSEI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,7897936.5,19215199.15,0.0,27113135.65
surf,277,0_1000,0,1000,100.0,normal,SE-SE3,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1279419.75,19215199.15,0.0,20494618.9
surf,277,0_1000,0,1000,100.0,normal,SE-SE4,no,10702638000.0,211191169024.0,-9999.0,-9999.0,2571918.0,19215199.15,0.0,21787117.15
surf,277,0_1000,0,1000,100.0,normal,US-SW-WALC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,16231137.0,19215199.15,0.0,35446336.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-IPCO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,11299434.0,19215199.15,0.0,30514633.15
surf,277,0_1000,0,1000,100.0,normal,US-CAR-SCEG,no,10702638000.0,211191169024.0,-9999.0,-9999.0,24504444.0,19215199.15,0.0,43719643.15
surf,277,0_1000,0,1000,100.0,normal,CL-SEN,no,10702638000.0,211191169024.0,-9999.0,-9999.0,17451598.0,19215199.15,0.0,36666797.15
surf,277,0_1000,0,1000,100.0,normal,JP-KY,no,10702638000.0,211191169024.0,-9999.0,-9999.0,16384097.0,19215199.15,0.0,35599296.15
surf,277,0_1000,0,1000,100.0,normal,US-NW-SCL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,3321844.75,19215199.15,0.0,22537043.9
surf,277,0_1000,0,1000,100.0,normal,JP-ON,no,10702638000.0,211191169024.0,-9999.0,-9999.0,34664264.0,19215199.15,0.0,53879463.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-GVL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,33562768.0,19215199.15,0.0,52777967.15
surf,277,0_1000,0,1000,100.0,normal,HU,no,10702638000.0,211191169024.0,-9999.0,-9999.0,12230655.0,19215199.15,0.0,31445854.15
surf,277,0_1000,0,1000,100.0,normal,KE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,5449303.0,19215199.15,0.0,24664502.15
surf,277,0_1000,0,1000,100.0,normal,TW,no,10702638000.0,211191169024.0,-9999.0,-9999.0,30949596.0,19215199.15,0.0,50164795.15
surf,277,0_1000,0,1000,100.0,normal,BR-CS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,4987319.5,19215199.15,0.0,24202518.65
surf,277,0_1000,0,1000,100.0,normal,PH-MI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,35793280.0,19215199.15,0.0,55008479.15
surf,277,0_1000,0,1000,100.0,normal,AU-NT,no,10702638000.0,211191169024.0,-9999.0,-9999.0,28909976.0,19215199.15,0.0,48125175.15
surf,277,0_1000,0,1000,100.0,normal,NZ,no,10702638000.0,211191169024.0,-9999.0,-9999.0,8106780.0,19215199.15,0.0,27321979.15
surf,277,0_1000,0,1000,100.0,normal,NI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,20901108.0,19215199.15,0.0,40116307.15
surf,277,0_1000,0,1000,100.0,normal,US-NE-ISNE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,15563723.0,19215199.15,0.0,34778922.15
surf,277,0_1000,0,1000,100.0,normal,PH-VI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,35841624.0,19215199.15,0.0,55056823.15
surf,277,0_1000,0,1000,100.0,normal,IN,no,10702638000.0,211191169024.0,-9999.0,-9999.0,39870516.0,19215199.15,0.0,59085715.15
