workload,NoH,battery,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
marconi,972,25_1000,normal,JP-CB,no,2571322000,1680827200000.0,-9999.0,-9999.0,227704720.03564185,56142878.572602734,20384.021,283867982.62924457
marconi,972,25_1000,normal,US-MIDW-AECI,no,2571322000,1680827200000.0,-9999.0,-9999.0,242098800.004982,56142878.572602734,20384.021,298262062.5985847
marconi,972,25_1000,normal,PE,no,2571322000,1680917100000.0,-9999.0,-9999.0,66551858.58014665,56142878.572602734,20384.021,122715121.17374939
marconi,972,25_1000,normal,SI,no,2571322000,1680917100000.0,-9999.0,-9999.0,108292109.00944056,56142878.572602734,20384.021,164455371.6030433
marconi,972,25_1000,normal,RS,no,2571322000,1680917100000.0,-9999.0,-9999.0,233361458.0922489,56142878.572602734,20384.021,289524720.68585163
marconi,972,25_1000,normal,US-FLA-SEC,no,2571322000,1680827200000.0,-9999.0,-9999.0,237362496.02464685,56142878.572602734,20384.021,293525758.6182496
marconi,972,25_1000,normal,SE-SE1,no,2571322000,1680827200000.0,-9999.0,-9999.0,7344627.00119684,56142878.572602734,20384.021,63507889.59479957
marconi,972,25_1000,normal,US-SW-EPE,no,2571322000,1680850300000.0,-9999.0,-9999.0,211287588.5681716,56142878.572602734,20384.021,267450851.16177434
marconi,972,25_1000,normal,US-NW-PSEI,no,2571322000,1680917100000.0,-9999.0,-9999.0,81113377.72721729,56142878.572602734,20384.021,137276640.32082003
marconi,972,25_1000,normal,PH-LU,no,2571322000,1680827200000.0,-9999.0,-9999.0,304815712.0510578,56142878.572602734,20384.021,360978974.64466053
marconi,972,25_1000,normal,UY,no,2571322000,1680827200000.0,-9999.0,-9999.0,23585382.00726953,56142878.572602734,20384.021,79748644.60087226
marconi,972,25_1000,normal,US-SW-PNM,no,2571322000,1680827200000.0,-9999.0,-9999.0,137048896.0200256,56142878.572602734,20384.021,193212158.61362833
marconi,972,25_1000,normal,US-CAR-SC,no,2571322000,1680827200000.0,-9999.0,-9999.0,261366512.05816653,56142878.572602734,20384.021,317529774.6517693
marconi,972,25_1000,normal,US-MIDW-MISO,no,2571322000,1680917100000.0,-9999.0,-9999.0,195630198.837128,56142878.572602734,20384.021,251793461.43073076
marconi,972,25_1000,normal,RO,no,2571322000,1680917100000.0,-9999.0,-9999.0,140365080.77892137,56142878.572602734,20384.021,196528343.37252408
marconi,972,25_1000,normal,LT,no,2571322000,1680917100000.0,-9999.0,-9999.0,75033337.31790233,56142878.572602734,20384.021,131196599.91150506
marconi,972,25_1000,normal,JP-ON,no,2571322000,1680827200000.0,-9999.0,-9999.0,272411328.04627067,56142878.572602734,20384.021,328574590.6398734
marconi,972,25_1000,normal,US-CAR-DUK,no,2571322000,1680850300000.0,-9999.0,-9999.0,122672577.30941506,56142878.572602734,20384.021,178835839.9030178
marconi,972,25_1000,normal,US-NW-IPCO,no,2571322000,1680827200000.0,-9999.0,-9999.0,117699888.01894428,56142878.572602734,20384.021,173863150.612547
marconi,972,25_1000,normal,NL,no,2571322000,1680827200000.0,-9999.0,-9999.0,129818336.0394998,56142878.572602734,20384.021,185981598.63310254
marconi,972,25_1000,normal,SE-SE2,no,2571322000,1680850300000.0,-9999.0,-9999.0,8867883.000604367,56142878.572602734,20384.021,65031145.5942071
marconi,972,25_1000,normal,IT-NO,no,2571322000,1680827200000.0,-9999.0,-9999.0,119595272.02483556,56142878.572602734,20384.021,175758534.6184383
marconi,972,25_1000,normal,US-NW-WACM,no,2571322000,1680827200000.0,-9999.0,-9999.0,291534848.0524249,56142878.572602734,20384.021,347698110.6460276
marconi,972,25_1000,normal,SK,no,2571322000,1680917100000.0,-9999.0,-9999.0,96435302.0838707,56142878.572602734,20384.021,152598564.67747343
marconi,972,25_1000,normal,US-CAL-BANC,no,2571322000,1680827200000.0,-9999.0,-9999.0,93783120.00350212,56142878.572602734,20384.021,149946382.59710485
marconi,972,25_1000,normal,US-FLA-JEA,no,2571322000,1680917100000.0,-9999.0,-9999.0,289744048.519422,56142878.572602734,20384.021,345907311.1130247
marconi,972,25_1000,normal,PH,no,2571322000,1680827200000.0,-9999.0,-9999.0,295746592.05015576,56142878.572602734,20384.021,351909854.6437585
marconi,972,25_1000,normal,BE,no,2571322000,1680827200000.0,-9999.0,-9999.0,75308976.00195324,56142878.572602734,20384.021,131472238.59555598
marconi,972,25_1000,normal,IT,no,2571322000,1680917100000.0,-9999.0,-9999.0,120236208.02698936,56142878.572602734,20384.021,176399470.6205921
marconi,972,25_1000,normal,JP-HKD,no,2571322000,1680827200000.0,-9999.0,-9999.0,214497120.03477785,56142878.572602734,20384.021,270660382.6283806
