Name,Total Energy (kWh)
normal,58.664215087890625
HS,51.340248107910156
TS,58.87754440307617
BAT,58.94853591918945
TS_BAT,59.099700927734375
TS_HS,53.890750885009766
HS_BAT,53.98645782470703
HS_TS_BAT,54.10105514526367
